所管,組織,,,,,,,,                             項目,,"平成30年度
成立予算額(千円)",補正要求,,,"改平成30年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,090,,,,,,,独立行政法人国立文化財機構運営費,,"8,808,027",0,0,0,"8,808,027"
,,091,,,,,,,独立行政法人国立文化財機構施設整備費,,"405,044",0,0,0,"405,044"
,,096,,,,,,,国際観光旅客税財源文化財多言語解説整備費,,"500,000",0,0,0,"500,000"
,,092,,,,,,,国際文化交流推進費,,"2,078,426",0,0,0,"2,078,426"
,,093,,,,,,,文化振興基盤整備費,,"1,127,297",0,0,0,"1,127,297"
厚生労働省,厚生労働本省,,,,,,,,,,"30,948,629,162","31,539,240",0,"31,539,240","30,980,168,402"
,,001,,,,,,,厚生労働本省共通費,,"104,074,248",0,0,0,"104,074,248"
,,002,,,,,,,厚生労働本省施設費,,"227,677",0,0,0,"227,677"
,,003,,,,,,,医療提供体制確保対策費,,"18,802,609",0,0,0,"18,802,609"
,,004,,,,,,,医療従事者等確保対策費,,"1,038,619",0,0,0,"1,038,619"
,,005,,,,,,,医療従事者資質向上対策費,,"1,094,211",0,0,0,"1,094,211"
,,006,,,,,,,医療情報化等推進費,,"1,017,097",0,0,0,"1,017,097"
,,007,,,,,,,医療安全確保推進費,,"1,442,941",0,0,0,"1,442,941"
,,010,,,,,,,独立行政法人国立病院機構運営費,,"14,828,202",0,0,0,"14,828,202"
,,171,,,,,,,国立研究開発法人国立がん研究センター運営費,,"6,477,029",0,0,0,"6,477,029"
,,173,,,,,,,国立研究開発法人国立循環器病研究センター運営費,,"3,997,082",0,0,0,"3,997,082"
,,181,,,,,,,国立研究開発法人国立循環器病研究センター施設整備費,,"1,000,500","1,355,563",0,"1,355,563","2,356,063"
,,,07,086,1,92,5,16,,国立研究開発法人国立循環器病研究センター施設整備費補助金,"1,000,500","1,355,563",0,"1,355,563","2,356,063"
,,174,,,,,,,国立研究開発法人国立精神・神経医療研究センター運営費,,"3,810,252",0,0,0,"3,810,252"
,,175,,,,,,,国立研究開発法人国立精神・神経医療研究センター施設整備費,,"504,915",0,0,0,"504,915"
,,176,,,,,,,国立研究開発法人国立国際医療研究センター運営費,,"5,822,900",0,0,0,"5,822,900"
,,178,,,,,,,国立研究開発法人国立成育医療研究センター運営費,,"3,395,266",0,0,0,"3,395,266"
,,184,,,,,,,国立研究開発法人国立成育医療研究センター施設整備費,,"119,340",0,0,0,"119,340"
,,179,,,,,,,国立研究開発法人国立長寿医療研究センター運営費,,"2,823,669",0,0,0,"2,823,669"
,,012,,,,,,,感染症対策費,,"98,144,172",0,0,0,"98,144,172"
,,013,,,,,,,特定疾患等対策費,,"123,940,696",0,0,0,"123,940,696"
,,014,,,,,,,移植医療推進費,,"2,938,891",0,0,0,"2,938,891"
,,015,,,,,,,原爆被爆者等援護対策費,,"128,784,304",0,0,0,"128,784,304"
,,016,,,,,,,医薬品承認審査等推進費,,"1,011,435",0,0,0,"1,011,435"
,,017,,,,,,,医薬品安全対策等推進費,,"2,377,043",0,0,0,"2,377,043"
,,018,,,,,,,医薬品適正使用推進費,,"282,913",0,0,0,"282,913"
,,019,,,,,,,血液製剤対策費,,"596,797",0,0,0,"596,797"
,,021,,,,,,,医療技術実用化等推進費,,"1,550,651",0,0,0,"1,550,651"
,,022,,,,,,,医療提供体制基盤整備費,,"110,393,139","8,084,886",0,"8,084,886","118,478,025"
,,,07,088,1,82,5,16,,医療施設等災害復旧費補助金,"293,817","3,747,029",0,"3,747,029","4,040,846"
,,,07,086,2,92,5,16,,国立研究開発法人国立循環器病研究センター設備整備費補助金,0,"4,337,857",0,"4,337,857","4,337,857"
,,,07,086,2,81,5,16,,医療提供体制推進事業費補助金外4目,"110,099,322",0,0,0,"110,099,322"
,,023,,,,,,,独立行政法人医薬品医療機器総合機構運営費,,"2,123,524",0,0,0,"2,123,524"
,,024,,,,,,,医療保険給付諸費,,"9,938,153,202","614,556",0,"614,556","9,938,767,758"
,,,06,081,2,71,5,16,,後期高齢者医療災害臨時特例補助金,0,"128,724",0,"128,724","128,724"
,,,06,081,2,71,5,16,,国民健康保険災害臨時特例補助金,0,"485,832",0,"485,832","485,832"
,,,95,016,2,12,9,06,,諸謝金外31目,"9,938,153,202",0,0,0,"9,938,153,202"
